entropy_p,entropy_i,NCE_t,issuer,users,tasks,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
0.000115893,0.056708939,0.276968297,653,7682,29241,5107,1013,1281,197,384,2025,0,0,0,0,0,276
0.000114038,0.05672149,0.276906188,666,7709,29900,5128,1052,1232,191,404,2151,0,0,0,0,0,166
0.000109548,0.056669049,0.27873504,689,7806,30546,5027,1119,1228,183,450,2319,10,0,0,0,0,179
0.000107377,0.056926071,0.280848727,694,7909,31271,4996,1145,1212,182,462,2367,0,0,0,0,0,158
0.000106726,0.057305924,0.280471288,695,7933,31447,5079,1152,1214,182,467,2386,0,0.668713227,0,0,0,114
0.00010737,0.05719735,0.278956949,692,7869,31243,5045,1130,1214,175,447,2348,0,3.568713227,0,0,1,109
0.000106479,0.05746882,0.277483834,692,7928,31282,5049,1113,1216,172,443,2409,0,5.627713227,0,0,0,122
0.000105903,0.057874323,0.277213736,698,7999,31111,5006,1103,1245,160,460,2408,0,7.089603227,0,0,0,133
0.000105274,0.058061577,0.275380195,694,8039,31215,4967,1110,1261,154,473,2458,0,8.127545127,0,0,0,120
0.000105893,0.058081711,0.274585036,681,7947,31088,4929,1099,1205,165,470,2478,0,8.864483876,0,0,0,92
0.000106708,0.057865785,0.273586121,681,7937,30796,4913,1078,1179,163,468,2493,0,9.387710388,0,0,0,121
0.000107305,0.057705651,0.272293452,677,7919,30675,4893,1079,1171,166,456,2497,0,10.66871323,0,0,0,113
0.000110828,0.05774045,0.268289429,674,7694,30382,4842,1079,1168,166,455,2539,0,7.768713227,0,0,2,61
0.000114697,0.057352834,0.266242049,660,7538,29803,4883,1036,1110,158,456,2482,0,5.709713227,0,0,0,82
0.000117481,0.057130454,0.267116832,651,7419,29352,4826,999,1097,157,453,2405,0,4.247823227,0,0,0,99
0.000120214,0.057267773,0.265831669,635,7370,28928,4885,955,1127,154,442,2323,0,3.209881327,0,0,0,70
0.000123136,0.057121332,0.26301955,611,7339,28667,4908,903,1195,153,412,2200,0,2.472942578,0,0,0,66
0.000126431,0.057217708,0.262602181,594,7210,27830,4837,873,1182,153,398,2134,0,1.949716066,0,0,0,98
0.000128282,0.057378944,0.264865224,587,7146,27501,4703,867,1195,150,392,2107,0,0,0,0,0,67
0.000127336,0.057321664,0.266230258,599,7206,27565,4706,900,1206,150,404,2141,0,0,0,0,0,54
0.000122925,0.057019134,0.264948003,631,7567,28041,4725,904,1227,149,411,2101,0,0,0,0,0,33
0.000121531,0.056758058,0.267361922,638,7565,28649,4752,939,1244,152,409,2094,0,0,0,0,0,40
0.000121192,0.056394703,0.264920081,654,7617,28752,4818,955,1223,153,398,2062,0,0,0,0,0,50
0.000115053,0.055885664,0.261866689,715,7958,29527,4873,976,1304,147,402,2124,0,0,0,0,0,38
0.000114681,0.055949356,0.267540761,721,7978,29590,4860,998,1321,149,408,2125,0,0,0,0,0,41
0.000114114,0.056068328,0.267333454,722,7992,29709,4865,999,1331,146,414,2144,0,0,0,0,0,23
0.000110858,0.055598203,0.267717803,763,8162,30442,4894,1020,1354,143,445,2162,0,0,0,0,0,34
0.000107909,0.055234199,0.268661572,801,8261,31335,4996,1111,1471,151,466,2270,0,0,0,0,0,32
0.000104007,0.055172389,0.26838279,836,8439,32566,5137,1186,1562,155,488,2355,0,0,0,0,0,30
9.81E-05,0.054306074,0.266266994,932,8926,34024,5459,1386,2021,162,499,3012,0,0,0,0,0,22
8.87E-05,0.053306328,0.267857271,1006,9780,36445,6180,1624,2400,177,580,3821,0,0,0,0,0,28
8.69E-05,0.053241942,0.269892238,1011,9874,37260,6427,1660,2508,175,613,3993,0,0,0,0,0,32
8.55E-05,0.052920472,0.270118738,1020,9926,37986,6592,1680,2561,176,645,4065,0,0,0,0,0,19
7.82E-05,0.052333462,0.272993059,1105,10645,41045,6990,1890,2838,181,732,4661,0,0,0,0,0,20
7.19E-05,0.052645424,0.275432362,1198,11318,44025,7854,2458,3409,197,996,6069,10,0,0,0,0,20
6.80E-05,0.053238942,0.282127771,1262,11764,46589,8235,2686,3651,197,1100,6670,0,0.668713227,0,0,0,33
6.42E-05,0.053911019,0.287992196,1305,12069,49382,8473,2982,3925,200,1194,7158,0,3.568713227,0,0,5,23
6.15E-05,0.054598929,0.294313117,1323,12283,51961,8624,3281,4214,193,1274,7583,0,5.627713227,0,0,1,19
5.97E-05,0.054804209,0.299434349,1342,12432,53487,8770,3345,4325,190,1303,7835,0,7.089603227,0,0,0,34
5.87E-05,0.055006978,0.303094328,1357,12511,54823,8955,3423,4447,190,1321,8017,0,8.127545127,0,0,0,22
5.73E-05,0.055227532,0.309311918,1377,12714,57388,9288,3673,4661,192,1405,8579,0,8.864483876,0,0,0,9
5.63E-05,0.055832079,0.313790501,1409,12870,59750,9545,3927,4788,185,1496,9116,0,9.387710388,0,0,0,13
5.50E-05,0.056105256,0.315447191,1449,13058,61968,9754,4140,4982,181,1595,9781,0,10.66871323,0,0,0,28
5.36E-05,0.055775093,0.318676087,1454,13194,63895,9610,4292,4752,176,1685,9828,0,7.768713227,0,0,0,20
5.30E-05,0.056092296,0.315599114,1470,13163,64430,9281,4369,4616,165,1714,9986,0,5.709713227,0,0,0,23
5.16E-05,0.056062578,0.319326627,1496,13272,66956,9231,4523,4665,165,1756,10582,0,4.247823227,0,0,0,29
4.92E-05,0.055809303,0.323303347,1524,13489,70964,9407,4795,4827,169,1854,11519,0,3.209881327,0,0,0,23
4.87E-05,0.055716772,0.324021882,1554,13486,71148,9084,4828,4730,162,1940,11843,0,2.472942578,0,0,0,16
4.97E-05,0.055632314,0.322142602,1511,13214,70152,8107,4477,4311,136,1796,11279,0,1.949716066,0,0,0,19
5.08E-05,0.055599684,0.322695465,1495,13069,68532,7845,4381,4159,131,1785,11081,0,0,0,0,0,44
5.36E-05,0.056245899,0.322369517,1458,12857,63832,7264,4004,3836,116,1696,10493,0,0,0,0,0,17
5.66E-05,0.0560468,0.31813918,1419,12589,58864,6836,3664,3352,107,1617,10031,0,0,0,0,0,26
5.78E-05,0.055723931,0.317403315,1408,12525,57352,6824,3587,3256,105,1607,9792,0,0,0,0,0,36
5.87E-05,0.055478751,0.317528713,1391,12451,55949,6693,3510,3145,104,1591,9663,0,0,0,0,0,14
6.15E-05,0.055036799,0.311099318,1357,12080,50375,6009,3151,2839,88,1461,8957,0,0,0,0,0,18
6.41E-05,0.054460767,0.305213452,1303,11693,45446,5421,2764,2551,79,1345,8260,0,0,0,0,0,10
6.71E-05,0.053145676,0.296370636,1256,11340,40529,4876,2438,2253,68,1209,7472,0,0,0,0,0,15
7.24E-05,0.052110729,0.286443231,1177,10731,35696,4373,2052,1964,60,1116,6727,0,0,0,0,0,18
7.57E-05,0.052082954,0.286169905,1112,10514,35183,4391,1881,1961,58,1059,6238,0,0,0,0,0,15
7.83E-05,0.052166765,0.288557656,1090,10428,35377,4920,1887,2158,64,1054,6169,10,0.668713227,0,0,0,27
8.41E-05,0.050911383,0.2809749,1018,9934,31754,4762,1628,2006,58,946,5341,0,3.568713227,0,0,0,25
8.80E-05,0.050841135,0.279273889,1007,9844,31280,5094,1581,2099,59,842,5073,0,5.627713227,0.668713227,0,0,23
8.99E-05,0.050931938,0.274834164,997,9823,31548,5503,1557,2243,68,824,4933,0,7.089603227,3.568713227,0,0,20
8.66E-05,0.051166009,0.270087948,987,10103,33063,5790,1588,2387,68,843,5155,0,8.127545127,5.627713227,0,0,21
8.27E-05,0.052781062,0.271556947,1053,10449,37163,6274,1827,2836,75,936,5796,0,8.864483876,10,0,0,19
7.90E-05,0.054139893,0.27946517,1107,10738,41194,6729,2048,3362,82,1004,6320,0,9.387710388,10,0,0,20
7.83E-05,0.054277906,0.280323365,1111,10791,41742,6706,2076,3440,84,1011,6393,0,10.66871323,10,0,0,25
7.76E-05,0.054345723,0.2825261,1114,10816,42308,6788,2102,3514,83,1043,6470,0,7.768713227,10.66871323,0,0,24
7.49E-05,0.055280669,0.287927832,1145,11117,47021,7478,2354,3800,89,1145,7084,0,5.709713227,7.768713227,0,0,18
7.09E-05,0.054931813,0.287743511,1224,11611,51496,8454,2647,4248,106,1246,7983,0,4.247823227,5.709713227,0,0,24
6.79E-05,0.054768504,0.288355863,1255,11854,55779,9063,2935,4698,119,1364,8735,0,3.209881327,10,0,0,40
6.42E-05,0.054157558,0.286118006,1298,12187,60228,9984,3199,5152,124,1463,9434,0,2.472942578,0,0,0,26
6.29E-05,0.054255403,0.281787187,1316,12214,60692,10240,3284,5266,128,1528,9577,0,1.949716066,0,0,0,27
6.42E-05,0.054923696,0.281042865,1308,12096,57837,9674,3108,5028,119,1511,9062,0,0,0,0,0,28
6.43E-05,0.054821192,0.27885874,1303,12072,57477,9674,3106,5110,119,1531,9031,0,0,0,0,0,26
6.30E-05,0.054583974,0.27796435,1341,12301,58107,10205,3115,5348,125,1617,9395,0,0,0,0,0,29
6.24E-05,0.054578141,0.275595744,1393,12539,58857,11034,3178,6336,132,1942,10094,0,0,0,0,0,11
6.23E-05,0.054665361,0.275792969,1410,12555,59278,11872,3246,6687,138,2001,10361,0,0,0,0,0,37
6.17E-05,0.054765078,0.276178243,1417,12629,60269,12347,3290,6873,144,2085,10640,0,0,0,0,0,24
6.11E-05,0.054975694,0.274454297,1435,12720,61054,12854,3278,6880,145,2145,10815,0,0,0,0,0,30
6.16E-05,0.054893987,0.276029498,1435,12709,60977,12851,3266,6910,144,2123,10862,0,0,0,0,0,17
6.16E-05,0.054908137,0.276900183,1436,12721,61244,12986,3264,6962,146,2095,10930,0,0,0,0,0,39
6.09E-05,0.05560573,0.277918859,1454,12921,62472,13308,3264,7281,158,2208,11268,0,0,0,0,0,19
6.14E-05,0.056479384,0.277377066,1437,12880,62925,13570,3300,7469,148,2345,11746,0,0,0,0,0,23
6.17E-05,0.056954096,0.277779071,1440,12904,63752,14125,3291,7680,142,2558,12157,0,0,0,0,0,33
6.21E-05,0.05712478,0.275741474,1435,12880,63984,14169,3299,7926,149,2690,12534,0,0,0,0,0,32
6.26E-05,0.057659567,0.274420504,1433,12906,64538,14364,3323,8299,142,2832,12769,0,0,0,0,0,22
6.24E-05,0.057735305,0.274533199,1437,12939,64635,14394,3334,8355,143,2784,12802,0,0,0,0,0,26
6.24E-05,0.057752323,0.274216986,1440,12940,64683,14394,3347,8492,143,2765,12948,0,0,0,0,0,24
6.22E-05,0.057844898,0.273666947,1446,13060,65526,14283,3348,8707,136,2853,13008,0,0,0,0,0,47
6.16E-05,0.057712832,0.274520597,1450,13244,65768,13872,3421,8130,128,2675,12519,0,0,0,0,0,49
6.14E-05,0.057497384,0.271981925,1445,13247,66365,13438,3516,8201,120,2795,12595,0,0,0,0,0,31
6.18E-05,0.056999258,0.274108093,1468,13264,66255,13647,3619,8307,116,2845,13008,0,0,0,0,0,41
6.17E-05,0.056974715,0.274792817,1467,13280,66918,13618,3726,8863,115,2944,13325,0,0,0,0,0,28
6.13E-05,0.057102727,0.274853236,1472,13280,67130,13659,3748,8981,115,2968,13527,0,0,0,0,0,34
6.11E-05,0.057175624,0.27382601,1474,13294,67572,13750,3831,9182,114,3171,13705,0,0,0,0,0,60
6.11E-05,0.057402249,0.273587642,1478,13341,67957,13830,4011,9199,103,3236,13926,0,0,0,0,0,30
6.06E-05,0.057882714,0.271651674,1495,13395,69036,13569,4075,9305,106,3194,13801,0,0,0,0,0,32
6.02E-05,0.058371819,0.271265608,1523,13444,69797,13335,4337,9304,108,3058,13943,0,0,0,0,0,44
5.97E-05,0.05851227,0.271142332,1544,13563,70843,13485,4567,9343,104,3096,14617,0,0,0,0,0,43
5.86E-05,0.057655005,0.271678889,1613,14006,71740,13433,4838,9522,103,3162,15237,0,0,0,0,0,31
5.83E-05,0.058035331,0.273515897,1627,14096,72185,13644,4910,9603,103,3228,15646,0,0,0,0,0,47
5.77E-05,0.058192712,0.273356464,1637,14174,72934,13719,5050,9590,105,3346,15998,0,0,0,0,0,29
5.59E-05,0.057742547,0.270651964,1707,14478,74238,13889,5302,9734,103,3465,16541,0,0,0,0,0,28
5.41E-05,0.057449465,0.270962035,1763,14732,76093,14309,5455,10041,101,3651,17446,0,0,0,0,0,37
5.26E-05,0.057743721,0.272135662,1825,15026,77927,15013,5868,10610,100,3957,19014,0,0,0,0,0,36
5.09E-05,0.058352032,0.271364171,1876,15159,80505,15489,6380,11130,104,4276,19939,0,0,0,0,0,32
5.09E-05,0.05846109,0.272191193,1877,15112,81530,16102,6731,11223,109,4499,21106,0,0,0,0,0,24
5.07E-05,0.058575777,0.271893258,1887,15146,82468,16773,7007,11504,111,4663,21683,0,0,0,0,0,24
5.07E-05,0.05869765,0.270166737,1896,15148,82472,16985,7001,11662,110,4565,21903,0,0,0,0,0,24
5.01E-05,0.059061269,0.270173623,1924,15201,84247,18223,7341,12471,113,4911,23414,0,0,0,0,0,14
5.00E-05,0.059757313,0.269684328,1942,15228,85616,19457,7714,13133,131,5234,25015,0,0,0,0,0,23
4.93E-05,0.060056258,0.268285654,1988,15324,87546,20385,7928,13832,128,5586,26787,0,0,0,0,0,31
4.90E-05,0.060060853,0.268028152,2029,15362,89109,21370,8192,14219,128,5828,27800,0,0,0,0,0,44
4.89E-05,0.059574804,0.267255062,2039,15345,90059,22189,8304,14360,133,6021,28850,0,0,0,0,0,60
4.86E-05,0.059720993,0.268269257,2043,15373,90759,22584,8378,14621,134,6118,29003,0,0,0,0,0,85
4.83E-05,0.059510697,0.268670713,2041,15343,91094,23164,8515,14972,132,6204,29158,0,0,0,0,0,96
4.89E-05,0.05903202,0.268617411,2044,15253,91383,23730,8765,15576,132,6468,29909,0,0,0,0,0,85
4.98E-05,0.059231961,0.268091259,2052,15135,91328,24187,8988,15626,148,6587,30543,0,0,0,0,0,111
5.07E-05,0.05905085,0.265570178,2043,15059,90834,24433,8797,15629,148,6532,30420,0,0,0,0,0,88
5.21E-05,0.058907733,0.263685065,2012,14967,90239,24881,8750,15855,143,6552,31090,0,0,0,0,0,112
5.23E-05,0.058313287,0.259728139,2023,14927,90490,25104,8683,16209,153,6589,31404,0,0,0,0,0,104
5.24E-05,0.058419387,0.260038612,2025,14905,90116,24882,8541,16096,152,6506,31250,0,0,0,0,0,136
5.23E-05,0.05832542,0.258813032,2020,14878,90294,25157,8633,16140,151,6530,31406,0,0,0,0,0,112
5.35E-05,0.058638806,0.25842066,2018,14679,89070,25167,8534,15807,144,6451,31514,0,0,0,0,1,91
5.40E-05,0.058948724,0.257712194,2024,14607,88219,24749,8693,15443,123,6459,31248,0,0,0,0,0,129
5.48E-05,0.058726602,0.256877781,2001,14469,86785,24783,8536,15190,134,6469,31002,0,0,0,0,1,108
5.51E-05,0.059176732,0.255402089,1994,14420,85769,24736,8425,15186,141,6371,31003,0,0,0,0,0,133
5.52E-05,0.058869075,0.253908768,1985,14420,85056,24798,8365,15107,147,6321,30859,0,0,0,0,0,122
5.58E-05,0.05890266,0.253998192,1984,14379,84152,24534,8337,15198,145,6238,30925,0,0,0,0,1,133
5.62E-05,0.058979998,0.254154503,1980,14364,83435,24113,8088,15042,145,6087,30853,0,0,0,0,1,90
5.70E-05,0.059044618,0.2530714,1976,14233,81951,24238,8206,14564,145,5901,31345,0,0,0,0,0,117
5.75E-05,0.05897462,0.25261765,1974,14174,81006,24195,8054,14503,130,5778,31480,0,0,0,0,0,118
5.81E-05,0.058564738,0.252147803,1946,14083,80095,24106,8057,14329,135,5686,31812,0,0,0,0,0,131
5.84E-05,0.058326982,0.252168413,1927,13950,79412,23659,7972,14087,134,5542,32011,0,0,0,0,1,100
5.97E-05,0.058003403,0.250022577,1905,13729,77981,23446,7808,13575,118,5485,31579,0,0,0,0,0,101
6.00E-05,0.05778606,0.250017735,1904,13755,77628,23430,7725,13503,118,5395,31459,0,0,0,0,0,114
5.98E-05,0.057257298,0.249690811,1891,13790,77716,23111,7813,13612,119,5340,31864,0,0,0,0,0,103
5.97E-05,0.057515468,0.249848521,1885,13721,77167,22629,8269,14058,121,5182,32067,0,0,0,0,0,112
5.90E-05,0.056975962,0.249373603,1884,13627,76343,22467,8343,14181,129,5120,31810,0,0,0,0,0,96
5.92E-05,0.056585914,0.250739064,1855,13570,75686,22129,8581,14015,129,4897,31042,0,0,0,0,2,116
5.96E-05,0.056501843,0.25065269,1855,13548,73868,21444,8503,13456,125,4730,29948,0,0,0,0,0,89
6.33E-05,0.057060046,0.253433536,1799,13212,67773,19859,7892,12412,108,4244,27660,0,0,0,0,0,136
6.35E-05,0.057089922,0.254453525,1785,13207,67189,19528,7758,11853,108,4172,27278,0,0,0,0,0,100
6.36E-05,0.057002802,0.253511043,1771,13191,66825,19421,7727,11458,107,4112,26904,0,0,0,0,1,100
6.35E-05,0.057141746,0.253227676,1781,13198,66374,18883,7366,11029,108,3961,25462,0,0,0,0,0,82
6.41E-05,0.056900543,0.258402608,1787,13187,65199,17885,7142,10498,107,3744,23604,0,0,0,0,0,76
6.49E-05,0.057036169,0.261751605,1766,13038,63948,16894,6891,9915,104,3538,21671,0,0,0,0,0,85
6.62E-05,0.056870757,0.265032054,1755,12908,62725,16220,6577,9230,110,3290,19406,0,0,0,0,0,81
6.69E-05,0.056558289,0.269207387,1728,12811,62094,15604,6522,8879,117,3017,18133,0,0,0,0,0,84
6.72E-05,0.056378784,0.2690681,1723,12803,61794,15207,6467,8635,115,3015,17653,0,0,0,0,0,93
6.74E-05,0.056204809,0.269969742,1718,12791,61140,14942,6258,8126,117,2960,16724,0,0,0,0,0,96
6.81E-05,0.05612217,0.269524408,1710,12730,60736,14146,5554,7166,120,2838,14792,0,0,0,0,0,79
7.05E-05,0.056015113,0.270764649,1673,12588,60142,13482,5101,6475,109,2537,13347,0,0,0,0,2,81
7.27E-05,0.055844577,0.270876121,1654,12389,59534,12963,4747,6046,97,2351,12114,0,0,0,0,1,89
7.30E-05,0.055640854,0.271212322,1601,12271,60069,12519,4542,6044,95,2255,11148,0,0,0,0,1,67
7.04E-05,0.05515162,0.271108321,1634,12441,64650,13189,4982,6819,102,2403,11787,0,0,0,0,0,65
6.98E-05,0.055259846,0.271929655,1646,12505,65125,13243,5043,6943,102,2404,11531,0,0,0,0,0,78
6.91E-05,0.055359602,0.271431989,1660,12580,65462,13218,5087,6996,102,2424,11434,0,0,0,0,0,89
6.88E-05,0.055332204,0.272196466,1679,12567,64913,13060,4903,6899,100,2328,10944,0,0,0,0,1,66
